ForeignId;ForeignName;ForeignKey;ForeignNameId;ForeignLocation；Star;CCommentCount;CRecommendCommentCount;CNeedToImproveCommentCount;CScore;CPrice;COpenYear;RoomCount;
上海如家北外滩大连路店;上海浦东丽思卡尔顿酒店;http://hotels.ctrip.com/hotel/dianping/1359388.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/346412.html;浦东陆家嘴金融贸易区;hotel_halfdiamond06;4198;4135;63;;;2010;285;
上海如家虹桥世贸仙霞路店;;http://hotels.ctrip.com/hotel/dianping/1569670.html#ctm_ref=hod_sr_lst_dl_c_1_1;;;;865;757;108;;;;;
上海如家陆家嘴东方明珠店;上海虹桥迎宾馆;http://hotels.ctrip.com/hotel/dianping/428886.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/428886.html;虹桥地区;hotel_stars05;2688;2636;52;;;1983;200;
林顿商务酒店;如家快捷酒店（上海陆家嘴东方明珠店）;http://hotels.ctrip.com/hotel/dianping/445287.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/445287.html;浦东陆家嘴金融贸易区;hotel_halfdiamond02;1163;1045;118;;;2007;118;
格林豪泰上海松江松东商务酒店;;http://hotels.ctrip.com/hotel/dianping/4622247.html#ctm_ref=hod_sr_lst_dl_c_1_1;;;;3;3;0;;;;;
格林豪泰上海浦东机场川沙快捷酒店 ;上海南飞精品酒店;http://hotels.ctrip.com/hotel/dianping/765870.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/765870.html;佘山、松江大学城;hotel_halfdiamond02;196;185;11;;;;;
如家酒店上海漕河泾中环漕宝路店;格林豪泰（上海浦东机场川沙店）（原金友酒店）;http://hotels.ctrip.com/hotel/dianping/1485141.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1485141.html;迪士尼度假区;hotel_halfdiamond02;343;325;18;;;2012;73;
上海如家松江方舟园店;如家快捷酒店（上海漕河泾中环漕宝路店）;http://hotels.ctrip.com/hotel/dianping/429890.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/429890.html;漕河泾开发区;hotel_halfdiamond02;954;878;76;;;2008;157;
上海如家镇坪路地铁站店 ;如家快捷酒店（上海松江方舟园体育中心地铁站店）;http://hotels.ctrip.com/hotel/dianping/429666.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/429666.html;佘山、松江大学城;hotel_halfdiamond02;1088;1062;26;;;2004;112;
滨海皇家金煦大酒店;如家快捷酒店（上海镇坪路店）;http://hotels.ctrip.com/hotel/dianping/1569664.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1569664.html;曹杨、真如地区;hotel_halfdiamond02;892;824;68;;;2006;140;
