Name;Star;Ranking;Locality;Location;TCommentCount;TExcellentCount;TGoodCount;TNormalCount;TBadCount;TVeryBadCount;TFamilyCat;TCoupleCat;TSoloCat;TBusinessCat;
逸兰锦麟天地服务公寓;;121;新天地;31.219864,121.4739;25;15;10;0;0;0;11;0;1;5;
绿地九龙宾馆;;269;虹口区;31.25386,121.49192;211;22;111;53;12;11;12;39;6;17;
小世界商务酒店;;1,331;城隍庙;,;12;3;6;1;0;2;0;0;0;0;
青瓷主题酒店;;1,516;新天地;31.21658,121.48146;28;1;7;12;5;1;2;7;12;2;
味美思大酒店;;1,645;虹口区;,;5;1;1;3;0;0;0;0;0;0;
上海汉庭大连路店;;1,673;虹口区;,;23;0;11;7;4;1;0;1;0;0;
居都旅馆;;1,951;;;31.23624,121.46558;1 ;;;;;;;;;;
园丁假日旅馆;;1,952;Sichuan North Road;,;1 ;;;;;;;;;;
雁荡旅馆;;2,059;城隍庙;,;2;0;1;1;0;0;0;0;0;0;
上海经汇假日酒店新天地店;;2,493;新天地;,;2;0;1;0;1;0;0;1;0;0;
铁路局军代处招待所;;;虹口区;,;;;;;;;;;;;
上海橙子公寓北站店;;;;;,;;;;;;;;;;;
上海浦东四季酒店;;8;陆家嘴;31.234678,121.51013;383;294;63;10;7;5;40;55;19;194;
7天上海宝山路地铁站店;;319;Sichuan North Road;31.251324,121.47536;167;26;115;25;1;0;0;1;3;1;
7天上海北外滩店;;401;虹口区;31.25245,121.4988;48;21;20;6;1;0;0;0;0;2;
潮域酒店公寓;;775;陆家嘴;31.232634,121.50991;23;7;8;4;3;1;8;1;1;4;
上海驿亭四季北外滩店;;802;虹口区;31.250154,121.50223;26;5;12;8;0;0;0;1;0;1;
上海海友良品酒店北外滩新建路店;;1,286;虹口区;,;15;3;3;6;2;1;0;1;0;0;
国清旅馆;;1,903;;;,;1 ;;;;;;;;;;
复交宾馆;;1,930;Qipu Road;,;2;0;1;1;0;0;0;0;0;0;
锦源时尚精品酒店;;2,151;;;,;2;1;1;0;0;0;0;0;0;0;
财庆君旅馆;;;静安区;,;;;;;;;;;;;
格林联盟上海火车站北虬江路酒店;;;;;,;;;;;;;;;;;
绿地海悦酒店公寓(金凯宾馆);;;Qipu Road;,;;;;;;;;;;;
上海优帕克服务式公寓浦东汇豪天下店;;;;;,;;;;;;;;;;;
上海外滩悦榕庄酒店;;63;虹口区;31.24969,121.50504;136;88;23;14;4;7;16;49;7;33;
外滩浦华大酒店;;77;The North Bund;31.25133,121.50275;169;73;60;16;3;7;23;43;11;43;
上海汉庭外滩店;;452;南外滩;31.22009,121.5048;225;23;146;50;4;2;0;0;1;1;
上海如家北外滩周家嘴路店;;515;虹口区;31.2544,121.49623;159;10;101;41;7;0;0;0;1;0;
紫阁精品商务酒店;;1,521;Sichuan North Road;31.250303,121.47087;5;1;4;0;0;0;0;0;0;1;
丽府峻安酒店;;1,522;静安区;31.230942,121.46415;41;4;11;18;6;2;0;1;0;1;
翰博酒店;;2,393;虹口区;31.2505,121.5028;8;1;1;4;1;1;0;0;0;0;
艾忆时尚宾馆;;;城隍庙;,;;;;;;;;;;;
